Zotu102	d:Fungi(1.0000),p:Ascomycota(0.7400),c:Xylonomycetes(0.0962),o:Symbiotaphrinales(0.0125),f:Symbiotaphrinaceae(0.0016),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu103	d:Fungi(1.0000),p:Ascomycota(0.6500),c:Leotiomycetes(0.0845),o:Helotiales(0.0110),f:Myxotrichaceae(0.0013),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu104	d:Fungi(1.0000),p:Ascomycota(0.6100),c:Xylonomycetes(0.0671),o:Symbiotaphrinales(0.0074),f:Symbiotaphrinaceae(0.0008),g:Symbiotaphrina(0.0001),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	-	d:Fungi
Zotu105	d:Fungi(1.0000),p:Ascomycota(0.5500),c:Saccharomycetes(0.0990),o:Saccharomycetales(0.0178),f:Metschnikowiaceae(0.0029),g:Metschnikowia(0.0005)	+	d:Fungi
Zotu106	d:Fungi(1.0000),p:Ascomycota(0.5600),c:Leotiomycetes(0.0728),o:Helotiales(0.0095),f:Myxotrichaceae(0.0011),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu107	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Leotiomycetes(0.1407),o:Helotiales(0.0281),f:Myxotrichaceae(0.0056),g:Oidiodendron(0.0011)	+	d:Fungi
Zotu108	d:Fungi(1.0000),p:Ascomycota(0.7000),c:Saccharomycetes(0.2030),o:Saccharomycetales(0.0589),f:Metschnikowiaceae(0.0165),g:Metschnikowia(0.0046)	+	d:Fungi
Zotu109	d:Fungi(1.0000),p:Ascomycota(0.7000),c:Leotiomycetes(0.0910),o:Helotiales(0.0118),f:Myxotrichaceae(0.0014),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu110	d:Fungi(1.0000),p:Ascomycota(0.6200),c:Xylonomycetes(0.0868),o:Symbiotaphrinales(0.0122),f:Symbiotaphrinaceae(0.0017),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu111	d:Fungi(1.0000),p:Ascomycota(0.5500),c:Leotiomycetes(0.0550),o:Helotiales(0.0055),f:Myxotrichaceae(0.0005),g:Oidiodendron(0.0000)	+	d:Fungi
Zotu112	d:Fungi(1.0000),p:Ascomycota(0.6200),c:Leotiomycetes(0.0806),o:Helotiales(0.0097),f:Myxotrichaceae(0.0011),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu113	d:Fungi(1.0000),p:Ascomycota(0.7900),c:Saccharomycetes(0.4582),o:Saccharomycetales(0.2658),f:Metschnikowiaceae(0.1541),g:Metschnikowia(0.0894),s:Metschnikowia_borealis_SH3313675.08FU(0.0170)	+	d:Fungi
Zotu114	d:Fungi(1.0000),p:Ascomycota(0.8100),c:Saccharomycetes(0.3807),o:Saccharomycetales(0.1789),f:Metschnikowiaceae(0.0841),g:Metschnikowia(0.0395)	+	d:Fungi,p:Ascomycota
Zotu115	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Saccharomycetes(0.1953),o:Saccharomycetales(0.0605),f:Metschnikowiaceae(0.0170),g:Metschnikowia(0.0047)	+	d:Fungi
Zotu116	d:Fungi(1.0000),p:Ascomycota(0.7100),c:Xylonomycetes(0.0923),o:Symbiotaphrinales(0.0120),f:Symbiotaphrinaceae(0.0016),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
